 County, FIPS, Total,Commercial,Industrial,Residential,Electricity Prod,Onroad,Cement,Aircraft,Airborne,Nonroad
Winkler,48495,0.081542015,0.000629932,0.063583165,0.00233933,0,0.009686035,0,0.00110839,0.002786144,0.00140902
Wise,48497,0.311198018,0.003584382,0.156799727,0.003331301,0,0.130191791,0,0.002673199,0.006719579,0.007898038
Wood,48499,0.100746806,0.00241073,0.0339966,0.002926211,0.005847464,0.04863924,0,0.000322072,0.000809589,0.0057949
Yoakum,48501,0.381472726,0.000439341,0.041052518,0.00100361,0.315926558,0.017297462,0,0,0,0.005753237
Young,48503,0.25097497,0.001715737,0.008638571,0.003725521,0.189250165,0.027299096,0,0.004648575,0.011685053,0.004012252
Zapata,48505,0.032576371,5.98714E-05,0.009092707,0.000108173,0,0.019463503,0,0,0,0.003852116
Zavala,48507,0.025016238,0.000891484,0.001470376,0.000218554,0,0.020475595,0,0,0,0.001960229
Beaver,49001,0.062567039,0.011537072,4.12293E-05,0.009610792,0,0.036189656,0,0.001055558,0.002653341,0.001479392
Box Elder,49003,0.250247687,0.024186207,0.027385694,0.025717482,6.79343E-05,0.144639061,0,0.00209069,0.005255338,0.02090528
Cache,49005,0.306462814,0.037018558,0.015833633,0.05600736,0.000160193,0.123313468,0,0.016338599,0.041070084,0.01672092
Carbon,49007,0.551360443,0.013327166,0.075465415,0.014869093,0.380043951,0.052104909,0,0.003455324,0.008685593,0.003408992
Daggett,49009,0.015589037,0.000654917,0.00891615,0.000600649,4.54461E-06,0.004115519,0,0.000182508,0.000458766,0.000655984
Davis,49011,1.056136931,0.001919787,0.575066674,0.131156981,0.001084599,0.313822185,0,5.50531E-06,1.3837E-05,0.033067362
Duchesne,49013,0.09132966,0.008251056,0.034088416,0.011019113,0,0.030203506,0,0.00106718,0.00268255,0.004017839
Emery,49015,4.02914255,0.013682648,0,0.006182217,3.948393928,0.055581701,0,0.000734081,0.001845243,0.002722732
Garfield,49017,0.037800619,0.005713089,0.000173487,0.00444708,0,0.020569012,0,0.000607044,0.001525913,0.004764994
Grand,49019,0.089084756,0.001172725,0.026133212,0.006048483,0,0.043707321,0,0.002511565,0.006313285,0.003198166
Iron,49021,0.181248885,0.028997918,0.000176787,0.034205779,0,0.093281911,0,0.005218265,0.013117076,0.006251149
Juab,49023,0.204892666,0.011735208,0.00190454,0.006665542,0,0.059037421,0.120792947,0.000734479,0.001846252,0.002176278
Kane,49025,0.038416812,0.007278518,0,0.005948146,0,0.019635602,0,0.000751502,0.001889037,0.002914008
Millard,49027,3.815448645,0.0184668,0.002344919,0.010381494,3.710257344,0.0657823,0,0.000590466,0.001484242,0.00614108
Morgan,49029,0.132240476,0.000826285,0,0.007106257,0,0.018895308,0.103246792,0,0,0.002165834
Piute,49031,0.014796549,0.00202622,0,0.001638789,0,0.004912419,0,0,0,0.006219121
Rich,49033,0.01783696,0.002223584,0,0.002310865,0,0.006496379,0,0,0,0.006806132
Salt Lake,49035,2.626152641,0.028027803,0.327956415,0.568641864,0.178499969,1.080345357,0,0.094889365,0.238521945,0.109269923
San Juan,49037,0.418865901,0.006949513,0.352424074,0.005518531,5.33323E-05,0.043856655,0,0.001950812,0.004903723,0.003209261
Sanpete,49039,0.086262812,0.025116303,4.15798E-05,0.021932512,0.000576988,0.034386266,0,0.000182508,0.000458766,0.003567889
Sevier,49041,0.128725571,0.026206985,0.006736961,0.018048999,0.007473796,0.061599296,0,0.000705024,0.001772208,0.006182301
Summit,49043,0.180735856,0.000853144,0.031068174,0.040585907,0.000120887,0.10035153,0,0,0,0.007756214
Tooele,49045,0.259304734,0.047074561,0.022411113,0.027460086,0.020533029,0.121144602,0,0.003650133,0.009175282,0.007855929
Uintah,49047,1.212174541,0.007420304,0.002617817,0.01547784,1.129191927,0.043355774,0,0.002297166,0.005774346,0.006039367
Utah,49049,0.84990839,0.01775651,0.109744922,0.179237717,0.000371222,0.45285083,0,0.011797991,0.029656434,0.048492765
Wasatch,49051,0.076601021,0.004529968,8.30824E-06,0.011968239,4.16588E-05,0.039341977,0,0.00470737,0.011832848,0.004170652
Washington,49053,0.228322464,0.013339008,0.000440508,0.032375586,0.001533674,0.143876411,0,0.00443953,0.01115958,0.021158167
Wayne,49055,0.023756683,0.010073358,0,0.004667594,0,0.006338132,0,0.000420998,0.001058256,0.001198345
