Id,Id2,code,med_inc,ZIP
8600000US11788,11788,ZCTA5 11788,105019,11788
8600000US11789,11789,ZCTA5 11789,87955,11789
8600000US11790,11790,ZCTA5 11790,134536,11790
8600000US11791,11791,ZCTA5 11791,151627,11791
8600000US11792,11792,ZCTA5 11792,120997,11792
8600000US11793,11793,ZCTA5 11793,113481,11793
8600000US11794,11794,ZCTA5 11794,,11794
8600000US11795,11795,ZCTA5 11795,110815,11795
8600000US11796,11796,ZCTA5 11796,104236,11796
8600000US11797,11797,ZCTA5 11797,157216,11797
8600000US11798,11798,ZCTA5 11798,70343,11798
8600000US11801,11801,ZCTA5 11801,93759,11801
8600000US11803,11803,ZCTA5 11803,126536,11803
8600000US11804,11804,ZCTA5 11804,118900,11804
8600000US11901,11901,ZCTA5 11901,55450,11901
8600000US11930,11930,ZCTA5 11930,86083,11930
8600000US11931,11931,ZCTA5 11931,,11931
8600000US11932,11932,ZCTA5 11932,70461,11932
8600000US11933,11933,ZCTA5 11933,59605,11933
8600000US11934,11934,ZCTA5 11934,90080,11934
8600000US11935,11935,ZCTA5 11935,86125,11935
8600000US11937,11937,ZCTA5 11937,84847,11937
8600000US11939,11939,ZCTA5 11939,72500,11939
8600000US11940,11940,ZCTA5 11940,96607,11940
8600000US11941,11941,ZCTA5 11941,102135,11941
8600000US11942,11942,ZCTA5 11942,88784,11942
8600000US11944,11944,ZCTA5 11944,56029,11944
8600000US11946,11946,ZCTA5 11946,75670,11946
8600000US11947,11947,ZCTA5 11947,,11947
8600000US11948,11948,ZCTA5 11948,103112,11948
8600000US11949,11949,ZCTA5 11949,105279,11949
8600000US11950,11950,ZCTA5 11950,71088,11950
8600000US11951,11951,ZCTA5 11951,63043,11951
8600000US11952,11952,ZCTA5 11952,74313,11952
8600000US11953,11953,ZCTA5 11953,70829,11953
8600000US11954,11954,ZCTA5 11954,72903,11954
8600000US11955,11955,ZCTA5 11955,61667,11955
8600000US11956,11956,ZCTA5 11956,,11956
8600000US11957,11957,ZCTA5 11957,75375,11957
8600000US11958,11958,ZCTA5 11958,65288,11958
8600000US11959,11959,ZCTA5 11959,85125,11959
8600000US11960,11960,ZCTA5 11960,103151,11960
8600000US11961,11961,ZCTA5 11961,56236,11961
8600000US11962,11962,ZCTA5 11962,209125,11962
8600000US11963,11963,ZCTA5 11963,86111,11963
8600000US11964,11964,ZCTA5 11964,79091,11964
8600000US11965,11965,ZCTA5 11965,101771,11965
8600000US11967,11967,ZCTA5 11967,82682,11967
8600000US11968,11968,ZCTA5 11968,82024,11968
8600000US11970,11970,ZCTA5 11970,,11970
8600000US11971,11971,ZCTA5 11971,89074,11971
8600000US11972,11972,ZCTA5 11972,104444,11972
8600000US11973,11973,ZCTA5 11973,,11973
8600000US11975,11975,ZCTA5 11975,79250,11975
8600000US11976,11976,ZCTA5 11976,115547,11976
8600000US11977,11977,ZCTA5 11977,97045,11977
8600000US11978,11978,ZCTA5 11978,83203,11978
8600000US11980,11980,ZCTA5 11980,90313,11980
8600000US12007,12007,ZCTA5 12007,,12007
8600000US12008,12008,ZCTA5 12008,93250,12008
8600000US12009,12009,ZCTA5 12009,89605,12009
8600000US12010,12010,ZCTA5 12010,44711,12010
8600000US12015,12015,ZCTA5 12015,58533,12015
8600000US12017,12017,ZCTA5 12017,62917,12017
8600000US12018,12018,ZCTA5 12018,81205,12018
8600000US12019,12019,ZCTA5 12019,88059,12019
8600000US12020,12020,ZCTA5 12020,73712,12020
8600000US12022,12022,ZCTA5 12022,51719,12022
8600000US12023,12023,ZCTA5 12023,61488,12023
8600000US12024,12024,ZCTA5 12024,,12024
8600000US12025,12025,ZCTA5 12025,58923,12025
8600000US12027,12027,ZCTA5 12027,86656,12027
8600000US12028,12028,ZCTA5 12028,81923,12028
8600000US12029,12029,ZCTA5 12029,79000,12029
8600000US12031,12031,ZCTA5 12031,49167,12031
8600000US12032,12032,ZCTA5 12032,47130,12032
8600000US12033,12033,ZCTA5 12033,69733,12033
8600000US12035,12035,ZCTA5 12035,37647,12035
8600000US12036,12036,ZCTA5 12036,36875,12036
8600000US12037,12037,ZCTA5 12037,61188,12037
8600000US12040,12040,ZCTA5 12040,39063,12040
8600000US12041,12041,ZCTA5 12041,68571,12041
8600000US12042,12042,ZCTA5 12042,,12042
8600000US12043,12043,ZCTA5 12043,49869,12043
8600000US12045,12045,ZCTA5 12045,41250,12045
8600000US12046,12046,ZCTA5 12046,80129,12046
8600000US12047,12047,ZCTA5 12047,51313,12047
8600000US12051,12051,ZCTA5 12051,58664,12051
8600000US12052,12052,ZCTA5 12052,66012,12052
8600000US12053,12053,ZCTA5 12053,80082,12053
8600000US12054,12054,ZCTA5 12054,96813,12054
8600000US12056,12056,ZCTA5 12056,95714,12056
8600000US12057,12057,ZCTA5 12057,46797,12057
8600000US12058,12058,ZCTA5 12058,65000,12058
8600000US12059,12059,ZCTA5 12059,76250,12059
8600000US12060,12060,ZCTA5 12060,70278,12060
8600000US12061,12061,ZCTA5 12061,85043,12061
8600000US12062,12062,ZCTA5 12062,63258,12062
8600000US12063,12063,ZCTA5 12063,155658,12063
8600000US12064,12064,ZCTA5 12064,60119,12064
8600000US12065,12065,ZCTA5 12065,81192,12065
8600000US12066,12066,ZCTA5 12066,58672,12066
8600000US12067,12067,ZCTA5 12067,66875,12067
8600000US12068,12068,ZCTA5 12068,52473,12068
8600000US12069,12069,ZCTA5 12069,,12069
8600000US12070,12070,ZCTA5 12070,61250,12070
8600000US12071,12071,ZCTA5 12071,51563,12071
8600000US12072,12072,ZCTA5 12072,45000,12072
8600000US12074,12074,ZCTA5 12074,68690,12074
8600000US12075,12075,ZCTA5 12075,60544,12075
8600000US12076,12076,ZCTA5 12076,58478,12076
8600000US12077,12077,ZCTA5 12077,95135,12077
8600000US12078,12078,ZCTA5 12078,39810,12078
8600000US12083,12083,ZCTA5 12083,66250,12083
8600000US12084,12084,ZCTA5 12084,68080,12084
8600000US12085,12085,ZCTA5 12085,41985,12085
8600000US12086,12086,ZCTA5 12086,60417,12086
8600000US12087,12087,ZCTA5 12087,69531,12087
8600000US12089,12089,ZCTA5 12089,64375,12089
8600000US12090,12090,ZCTA5 12090,57181,12090
8600000US12092,12092,ZCTA5 12092,41500,12092
8600000US12093,12093,ZCTA5 12093,50900,12093
8600000US12094,12094,ZCTA5 12094,74625,12094
8600000US12095,12095,ZCTA5 12095,48142,12095
8600000US12106,12106,ZCTA5 12106,72417,12106
8600000US12108,12108,ZCTA5 12108,64750,12108
8600000US12110,12110,ZCTA5 12110,73997,12110
8600000US12115,12115,ZCTA5 12115,67083,12115
8600000US12116,12116,ZCTA5 12116,46458,12116
8600000US12117,12117,ZCTA5 12117,54420,12117
8600000US12118,12118,ZCTA5 12118,63750,12118
8600000US12120,12120,ZCTA5 12120,56250,12120
8600000US12121,12121,ZCTA5 12121,67243,12121
8600000US12122,12122,ZCTA5 12122,44738,12122
8600000US12123,12123,ZCTA5 12123,70331,12123
8600000US12124,12124,ZCTA5 12124,108977,12124
8600000US12125,12125,ZCTA5 12125,51741,12125
8600000US12130,12130,ZCTA5 12130,89750,12130
8600000US12131,12131,ZCTA5 12131,58750,12131
8600000US12132,12132,ZCTA5 12132,61150,12132
8600000US12134,12134,ZCTA5 12134,53214,12134
8600000US12136,12136,ZCTA5 12136,89276,12136
8600000US12137,12137,ZCTA5 12137,61563,12137
8600000US12138,12138,ZCTA5 12138,61296,12138
8600000US12139,12139,ZCTA5 12139,50625,12139
8600000US12140,12140,ZCTA5 12140,82564,12140
8600000US12143,12143,ZCTA5 12143,49803,12143
8600000US12144,12144,ZCTA5 12144,63286,12144
8600000US12147,12147,ZCTA5 12147,63000,12147
