BINs,Type,Score,S_EUI,BBL
3038457,Multifamily Housing,54,120.3,3014270007
3038502,Multifamily Housing,87,93.4,3014290017
3038503,Multifamily Housing,99,68.1,3014290032
3346133,Multifamily Housing,96,93.7,3014297502
3038512,Multifamily Housing,60,,3014300001
3038521,Multifamily Housing,86,102.7,3014310045
"332,466,133,246,623,000,000",Multifamily Housing,,133.5,3014340001
3856389,Multifamily Housing,90,94.1,3014520062
3039305;3039306;3259317,Multifamily Housing,,,3014580052
See Primary BBL,See Primary BBL,,,3014630016
See Primary BBL,See Primary BBL,,,3014630041
3324683;3394308,Multifamily Housing,73,,3014600001
3394974,Multifamily Housing,93,61.3,3014637501
3341663,Multifamily Housing,50,136.9,3014730025
3389400,Multifamily Housing,35,142,3014740056
3330725,Other - Lodging/Residential,,,3014750004
3039624,Other,,21.1,3014800010
3039983,Multifamily Housing,1,261,3014920001
3337909,Multifamily Housing,100,47,3014950001
See Primary BBL,See Primary BBL,,,3014950013
3041566;3324696;3324697;3379499,Multifamily Housing,5,221.5,3015280033
See Primary BBL,See Primary BBL,,,3015290001
3042845,Multifamily Housing,100,,3015790037
3324728;3324729;3324730;3324731;3324732;3324733;3326366;3338596;3338597;3338598;3338599;3338600;3338601,Multifamily Housing,7,218.2,3015800001
See Primary BBL,See Primary BBL,,,3017490015
3042881,Multifamily Housing,1,241.7,3015850001
3042921,Multifamily Housing,46,117.9,3015880001
3339157,Multifamily Housing,100,67.4,3015910040
3043216;3324968;3324969;3324970;3324972;3324973;3043112;3043113;3341752,Multifamily Housing,10,,3015970001
See Primary BBL,See Primary BBL,,,3015980001
See Primary BBL,See Primary BBL,,,3016010024
See Primary BBL,See Primary BBL,,,3015950001
See Primary BBL,See Primary BBL,,,3015950024
3390995,Multifamily Housing,81,105.6,3016250034
3341864;3325009;3051253;3051253;3398081;3325010;3341863;3325011;3325012,Multifamily Housing,35,170.6,3016290001
See Primary BBL,See Primary BBL,,,3018160001
3044505;3044506;3044520;3044630;3044631;3044656;3332639;3332640;3379547,Multifamily Housing,5,196,3016310001
See Primary BBL,See Primary BBL,,,3016310009
See Primary BBL,See Primary BBL,,,3016310031
See Primary BBL,See Primary BBL,,,3016350003
See Primary BBL,See Primary BBL,,,3016350041
See Primary BBL,See Primary BBL,,,3016350126
Not Available,K-12 School,33,174.1,3016330058
3325013;3325014;3839609,Multifamily Housing,98,83,3016330060
3325015;3325016;3325017;3325018;3325020,Multifamily Housing,,153.4,3016340001
3044658,Multifamily Housing,96,86.3,3016360024
3044711,Multifamily Housing,7,175.8,3016380006
3047810,Multifamily Housing,89,86.4,3016860030
3325154;3325167;3325168;3325169;3325170;3325171;3325172;3325173;3325174;3325175;3333515;3333516;3333523;3388155,Multifamily Housing,10,211.7,3016880001
3325183,Multifamily Housing,1,238.4,3016910012
3397047,Multifamily Housing,63,111.8,3016990027
3398101,Multifamily Housing,47,182.2,3016997501
3325185,Multifamily Housing,,173.1,3017000017
3850578;3338126;3338127;3338128;3338129;3338130;3338135;3338136;3338137;3338138;3338139;3338140;3338141;3338143;3338144;3338145;3338146;3338147;3338148;3338149;3338154;3338124;3338125;3850569;3850570;3850571;3850572;3850573;3850574;3850575;3850576;3850577,Multifamily Housing,93,93.8,3017080001
3397596,Multifamily Housing,66,,3017107501
3329613,Other,,39.5,3017177501
3324236;3324237;3324238;3324239;3324240;3324241;3324242;3324243;3324244;3324245;3324246;3325557;3325580;3325581;3325582;3325583;3325584;3325585;3325586;3325587;3325588;3325589;3325590;3325591;3325592;3325593;3325594;3394325,Multifamily Housing,94,,3017190001
See Primary BBL,See Primary BBL,,,3017380001
3338519;3338520;3329629;3851381;3329626;3329628;3338503;3338893;3829161;3850597,Other,,189.4,3017200001
3324248;3324249;3324250;3324251;3324252;3324253;3324254;3324255;3388151,Multifamily Housing,20,,3017400001
3048556,Mixed Use Property,,147.7,3017500024
3392717;3830098,Multifamily Housing,27,145.6,3017540001
3393745,Multifamily Housing,85,98.3,3017547502
3048637,Multifamily Housing,95,74.6,3017557503
3856725;3393747,Multifamily Housing,96,91.6,3017627502
3049016,Retail Store,52,223,3017640001
3348297,Multifamily Housing,40,121.8,3017770015
3049616,Multifamily Housing,63,120,3017780049
3398151,Multifamily Housing,48,123.5,3017780089
3338653,Multifamily Housing,40,168.1,3017850020
3396015,Multifamily Housing,96,86.8,3017877501
3050169;3050196;3050197;3050198;3050199;3050200;3050201;3050202;3050203;3050204;3050586;3050587;3050588;3050619;3050655;3050656;3050657;3050658;3050659;3050660;3050661;3050662;3050663;3050664;3050665;3050666;3050667;3050907;3050914;3050915;3050916;3050917,Multifamily Housing,10,,3017940054
See Primary BBL,See Primary BBL,,,3017940119
See Primary BBL,See Primary BBL,,,3017940121
See Primary BBL,See Primary BBL,,,3017940139
See Primary BBL,See Primary BBL,,,3018020044
See Primary BBL,See Primary BBL,,,3018020051
See Primary BBL,See Primary BBL,,,3018030011
See Primary BBL,See Primary BBL,,,3018030027
See Primary BBL,See Primary BBL,,,3018030042
See Primary BBL,See Primary BBL,,,3018080161
See Primary BBL,See Primary BBL,,,3018080174
See Primary BBL,See Primary BBL,,,3017940011
See Primary BBL,See Primary BBL,,,3017940112
See Primary BBL,See Primary BBL,,,3017940113
See Primary BBL,See Primary BBL,,,3017940114
See Primary BBL,See Primary BBL,,,3017940115
See Primary BBL,See Primary BBL,,,3017940116
See Primary BBL,See Primary BBL,,,3017940117
See Primary BBL,See Primary BBL,,,3017940118
See Primary BBL,See Primary BBL,,,3017940120
See Primary BBL,See Primary BBL,,,3018020043
See Primary BBL,See Primary BBL,,,3018030112
See Primary BBL,See Primary BBL,,,3018030113
See Primary BBL,See Primary BBL,,,3018030114
See Primary BBL,See Primary BBL,,,3018030115
See Primary BBL,See Primary BBL,,,3018030116
See Primary BBL,See Primary BBL,,,3018030117
See Primary BBL,See Primary BBL,,,3018030118
See Primary BBL,See Primary BBL,,,3018030119
See Primary BBL,See Primary BBL,,,3018030120
See Primary BBL,See Primary BBL,,,3018030121
See Primary BBL,See Primary BBL,,,3018030122
See Primary BBL,See Primary BBL,,,3018030123
See Primary BBL,See Primary BBL,,,3018030124
See Primary BBL,See Primary BBL,,,3018080059
See Primary BBL,See Primary BBL,,,3018080160
See Primary BBL,See Primary BBL,,,3018080162
See Primary BBL,See Primary BBL,,,3018080163
See Primary BBL,See Primary BBL,,,3018080164
See Primary BBL,See Primary BBL,,,3018080165
See Primary BBL,See Primary BBL,,,3018080166
See Primary BBL,See Primary BBL,,,3018080167
See Primary BBL,See Primary BBL,,,3018080168
See Primary BBL,See Primary BBL,,,3018080169
See Primary BBL,See Primary BBL,,,3018080170
See Primary BBL,See Primary BBL,,,3018080171
See Primary BBL,See Primary BBL,,,3018080172
See Primary BBL,See Primary BBL,,,3018080173
3050268,Multifamily Housing,41,126.7,3017960001
3050417,Multifamily Housing,75,115,3017980040
3050426,Multifamily Housing,,143.4,3017990013
3050974;3322165;3322211;3322214;3322216;3322228;3322234,Multifamily Housing,13,,3017990044
See Primary BBL,See Primary BBL,,,3018040010
See Primary BBL,See Primary BBL,,,3018090001
See Primary BBL,See Primary BBL,,,3018090062
See Primary BBL,See Primary BBL,,,3018090074
3399682;3051048;3341860,Multifamily Housing,,186.2,3018110019
3051074,Multifamily Housing,37,164.1,3018120042
3051656,Worship Facility,80,,3018240001
3051914,Multifamily Housing,8,176.9,3018280017
3053009,Multifamily Housing,7,178.8,3018430020
3053758,Multifamily Housing,85,110.7,3018610020
3054043,Multifamily Housing,84,,3018710018
3054124;3338794;3329738;3329739;3329740,Non-Refrigerated Warehouse,3,266.3,3018730001
3054140;3329744;3338797;3329743;3338796,Multifamily Housing,38,125.6,3018740001
3334433;3329746;3329747;3329745;3329748,K-12 School,91,84.8,3018740038
3054157,Other,,109,3018770030
3054410,Multifamily Housing,43,140.7,3018907501
3054557;3054558;3054559,Multifamily Housing,100,60.5,3018920048
3334729,Distribution Center,19,90.2,3018940026
3054615;3822305,Multifamily Housing,1,217.2,3018947501
3390202; 3848101;3399718    ,Multifamily Housing,10,150.8,3018990038
3054783,Multifamily Housing,76,108.6,3019010007
3054892,Multifamily Housing,56,122.4,3019050001
3054896,Multifamily Housing,60,119.2,3019050080
3054893,Multifamily Housing,100,33.6,3019057502
3334940,Multifamily Housing,2,153.3,3019110001
3055031,Multifamily Housing,,58.8,3019160001
3055074,Multifamily Housing,69,126.6,3019170045
3055086,Multifamily Housing,58,133.7,3019180006
3055090,Multifamily Housing,94,81.1,3019180013
Not Available,College/University,,,3019200001
See Primary BBL,See Primary BBL,,,3019050120
See Primary BBL,See Primary BBL,,,3019190001
See Primary BBL,See Primary BBL,,,3019210001
See Primary BBL,See Primary BBL,,,3019220001
3329876,Multifamily Housing,10,,3019240036
3343740,Multifamily Housing,94,,3019247501
3055136,Multifamily Housing,34,,3019250001
3055137,Multifamily Housing,64,,3019250007
3388495,Multifamily Housing,7,191.3,3019257501
3392429; 3826915;3826913;3826912;3826911 ,Multifamily Housing,,38.2,3019277501
3055317,Multifamily Housing,98,72.4,3019300014
3055374;3827389,Multifamily Housing,51,122,3019330001
3055375,Multifamily Housing,1,229,3019330060
3055376;3810464,Multifamily Housing,72,112.4,3019330070
3055377,Multifamily Housing,68,127.3,3019330100
3321865;3321866;3321868;3321869;3321871;3339158;3346319,Multifamily Housing,17,,3019380001
3379645,Multifamily Housing,100,,3019430006
3321874;3321875;3321876;3397848,Multifamily Housing,18,167,3019440004
3341954;3341955;3255179;3341956;3341944,Multifamily Housing,11,198.2,3019460004
3055532,College/University,29,,3019470001
3329903;3335015,Multifamily Housing,,124.7,3019520016
3396753,Multifamily Housing,86,90.8,3019537503
3414100,Multifamily Housing,,24.2,3019577501
3329558,Multifamily Housing,,3.3,3019587501
3055929,Multifamily Housing,56,126.2,3019590027
3055961; 3816055;3816034;3815938;3839288;3833879;3833880;3816097,Multifamily Housing,88,84.1,3019597501
3055969,Multifamily Housing,18,164.6,3019600022
3055994,Multifamily Housing,51,139.2,3019610027
3056377,Multifamily Housing,35,119.3,3019690033
3397042,Multifamily Housing,35,142.1,3019747501
3057383,Multifamily Housing,41,141.1,3019970020
3348849,Office,,321.6,3020017501
3321975;3321974,Multifamily Housing,22,138.5,3020030008
3397489,Multifamily Housing,29,144.9,3020047501
3347549,Multifamily Housing,80,107.1,3020060001
3057520,Multifamily Housing,2,234.5,3020070001
3321978;3321981;3321980;3808087;3848119;3321979      ,Multifamily Housing,52,145.5,3020070014
3335094;3829891,Office,76,191.2,3020090001
3057591,Multifamily Housing,34,146.9,3020137501
3397606;3853770;3830441,Multifamily Housing,22,143.6,3020137503
3057840,Multifamily Housing,1,222.2,3020190040
3057921,Multifamily Housing,29,167.2,3020270001
3255886,Other,,53.2,3020310016
3395154,Multifamily Housing,97,71.2,3020330002
3398478,Multifamily Housing,99,55.3,3020337501
3335245;3335246;3335247;3335249;3335250;3335251;3335252;3335253;3335254;3335255;3335256;3335257;3335258;3335259;3335261;3335262;3345021;3257034;3257035;3257036;3257037;3257038;3257039;3257040;3257041;3257042;3257043;3257045;3257046;3335228;3335229;3335230,Multifamily Housing,13,216.2,3020400001
See Primary BBL,See Primary BBL,,,3020410001
See Primary BBL,See Primary BBL,,,3020340001
See Primary BBL,See Primary BBL,,,3020500001
3257033,Multifamily Housing,10,245.1,3020440013
3391941,Multifamily Housing,,177.4,3020457501
3393888,Multifamily Housing,70,115.8,3020490002
3058206,Multifamily Housing,,132.1,3020497501
3058215,Non-Refrigerated Warehouse,99,23.2,3020500100
3058216,Other - Lodging/Residential,,,3020500104
3058223;3319505,Financial Office,,263.2,3020580017
See Primary BBL,See Primary BBL,,,3020590001
3392184,Multifamily Housing,3,189,3020587501
3394020,Multifamily Housing,,143.7,3020607501
3058255,Multifamily Housing,74,,3020610040
3058256;3058257,Multifamily Housing,68,,3020610060
3058257;3058256;3831266,Multifamily Housing,66,,3020610080
3322034,Multifamily Housing,53,139.3,3020680001
3058391,Multifamily Housing,80,114.6,3020750012
3058408,Other,,16.1,3020860034
3394444,Other,,282.2,3020870001
3058410,Hospital (General Medical & Surgical),100,240.6,3020880004
3058411,Medical Office,89,95.5,3020880030
3391840;1810372; 1810579; 1812332;1809937,Multifamily Housing,42,142.3,3020940010
3393804,Multifamily Housing,,276.2,3020957502
3058921,Multifamily Housing,100,,3021000072
3412935,Multifamily Housing,,220.6,3021067502
3268613,Worship Facility,100,10.8,3021110045
3059183,Multifamily Housing,1,251.9,3021117501
3059262,Multifamily Housing,80,130.4,3021140001
3059350,Worship Facility,,,3021180011
3059377,Multifamily Housing,48,131,3021190001
3388333,Multifamily Housing,18,155.6,3021207501
3059506,Multifamily Housing,4,163,3021307501
3335294,Multifamily Housing,87,80.7,3021327502
3251678,Non-Refrigerated Warehouse,,30.1,3021340001
3059560,Non-Refrigerated Warehouse,33,78.3,3021340150
3387991,Multifamily Housing,1,,3021347501
3387990,Multifamily Housing,24,195.5,3021347502
3387992,Multifamily Housing,74,113.8,3021347503
3396741,Multifamily Housing,66,128,3021350035
3394368,Multifamily Housing,80,150.3,3021370014
3059586,Multifamily Housing,68,140.4,3021377502
3251681;3251682;3341975;3341976;3341977,Multifamily Housing,55,142.1,3021400026
See Primary BBL,See Primary BBL,,,3021410019
3255961;3255977;3341978;3341979,Multifamily Housing,43,,3021450008
See Primary BBL,See Primary BBL,,,3021450018
See Primary BBL,See Primary BBL,,,3021560007
See Primary BBL,See Primary BBL,,,3021570006
3059730,Multifamily Housing,24,165.8,3021480007
3059731,Multifamily Housing,,101.9,3021480013
3394277,Multifamily Housing,,14.5,3021657501
3348311,Multifamily Housing,,16,3021657502
3348308,Multifamily Housing,,8.6,3021657503
3323169;3323168;3323170;3323171;3343951;3353950,Multifamily Housing,38,172.6,3021660001
3059905;3334989;3334990;3334991;3341986;3341987;3341989,Multifamily Housing,13,,3021720001
See Primary BBL,See Primary BBL,,,3021760001
3059900;3059901;3059903;3059904;3251702,Multifamily Housing,18,178.2,3021750030
See Primary BBL,See Primary BBL,,,3021750060
See Primary BBL,See Primary BBL,,,3021750070
See Primary BBL,See Primary BBL,,,3021750075
See Primary BBL,See Primary BBL,,,3021750080
See Primary BBL,See Primary BBL,,,3021750090
3256090,K-12 School,29,171.4,3021810001
3331317,Multifamily Housing,3,,3021860001
3060167,K-12 School,74,107.2,3021950001
3060847,Multifamily Housing,21,146.9,3022190035
3061066,Multifamily Housing,69,120.9,3022280001
3061080,Senior Care Community,88,163.7,3022300013
3395449,Multifamily Housing,100,62.4,3022390008
3345984; multiple,Multifamily Housing,84,116.5,3022447501
3335406;3830196;3830197  ,Multifamily Housing,,72.5,3022517501
3061371,Hotel,100,51.3,3022610009
3061385:3061386    ,Multifamily Housing,1,35366.6,3022637507
3396777:3413713:3396775˜,Multifamily Housing,100,51.3,3022637508
3061416,Multifamily Housing,18,198,3022647516
3061467,K-12 School,93,,3022720021
3387559,Multifamily Housing,27,155.1,3022730026
3329918,Hotel,8,615.3,3022880024
3251727:3805988,Multifamily Housing,51,129.5,3022917501
3388496,Multifamily Housing,98,103.1,3022977501
3397613;3331568;3823102,Multifamily Housing,36,159.3,3022977502
3061628,Multifamily Housing,66,110.6,3022997501
3061645,Non-Refrigerated Warehouse,,,3023020006
3398181:3061711:3061712,Multifamily Housing,84,96.2,3023060015
3061729,Retail Store,,41.7,3023090017
3392233,Multifamily Housing,66,92.7,3023097501
3061838,Multifamily Housing,,,3023140001
3061839,Non-Refrigerated Warehouse,89,32.6,3023140005
3061859,Multifamily Housing,100,,3023150014
3061866;3819942,Multifamily Housing,68,108.4,3023170005
3397614,Multifamily Housing,59,126.6,3023197501
3397389;3319523,Multifamily Housing,21,158.5,3023247501
3397391,Multifamily Housing,49,124,3023247502
3062095,Multifamily Housing,100,,3023280015
3391328,Multifamily Housing,37,143.3,3023327501
3397446;3854971,Multifamily Housing,30,155.2,3023327502
3391008,Multifamily Housing,23,151.4,3023407501
3391206,Multifamily Housing,89,96.9,3023407502
3397447,Multifamily Housing,10,227,3023407503
3062291,Multifamily Housing,88,,3023410001
3062293,Non-Refrigerated Warehouse,98,20.4,3023420001
3062358;3819944,Multifamily Housing,30,,3023487501
3398584;3343247,Multifamily Housing,92,95.2,3023490015
3062362,Multifamily Housing,,,3023490023
3396768,Multifamily Housing,63,106.8,3023497501
3062363,Multifamily Housing,100,78.2,3023507501
3062364,Multifamily Housing,,33,3023507502
3062367,Retail Store,,8.5,3023510006
3062430;3062431;3062432;3251736,Multifamily Housing,59,,3023637501
3335746; 3329986; 3340269; 3062429; 3062428,Multifamily Housing,25,,3023637502
3251737,Multifamily Housing,28,167.3,3023680001
3062518,Multifamily Housing,63,114.6,3023690040
3062531,Multifamily Housing,64,109.1,3023710034
3062674,Multifamily Housing,100,20.6,3023827502
3062888,Multifamily Housing,75,105.5,3024037501
3388874,Multifamily Housing,43,136.9,3024180040
3063245,Multifamily Housing,91,75.1,3024300002
3063291,Multifamily Housing,100,60.1,3024320030
3063399,Multifamily Housing,12,176.7,3024410024
3063406,Multifamily Housing,77,100.7,3024420001
 3414037;3397554;3063442 ,Multifamily Housing,100,43.1,3024447501
3397615,Multifamily Housing,100,48.9,3024687501
3063673,Manufacturing/Industrial Plant,,24.5,3024720350
3063674,Multifamily Housing,,127.6,3024720400
3063678,Non-Refrigerated Warehouse,,,3024770052
3063701,Multifamily Housing,97,67.8,3024820026
3063797,Non-Refrigerated Warehouse,43,,3024910051
3063812,Senior Care Community,87,125.9,3024950023
3063878,Other - Entertainment/Public Assembly,,87.6,3025030001
3336829,Multifamily Housing,,,3025120001
3330055,Self-Storage Facility,,5,3025170002
3064104,Non-Refrigerated Warehouse,,50.9,3025170027
3336933,Manufacturing/Industrial Plant,,16.7,3025380001
3064408,Multifamily Housing,79,112.1,3025400001
3064672,Other,,123.4,3025570001
3330075,Other,,69.3,3025570024
3065232,Distribution Center,,84.6,3025830001
3065233,Other - Entertainment/Public Assembly,,134.3,3025830012
3065444,Manufacturing/Industrial Plant,,40.4,3026050001
3332279,Non-Refrigerated Warehouse,4,182.5,3026070006
3065470,Office,100,38.1,3026120125
3391865,Office,72,125,3026297501
2791924,Non-Refrigerated Warehouse,88,41,3026390007
3066695,Non-Refrigerated Warehouse,3,,3026660101
3391997,Multifamily Housing,23,144.3,3027217502
3391875;3852080;3825436,Multifamily Housing,20,190.6,3027217503
3393895,Multifamily Housing,37,143.7,3027217504
3393899,Multifamily Housing,98,,3027220010
3392622,Multifamily Housing,9,171.9,3027227501
3412620,Multifamily Housing,64,113.4,3027310001
3418254,Multifamily Housing,27,163.1,3027320012
3413895,Multifamily Housing,78,98.2,3027360001
3251771,Multifamily Housing,63,107.6,3027850001
3332335,Other,,96.2,3028510001
3327827;3327829;3327830;3327831;3327832;3327833;3332781;3332782;3332784;3339336;3339339,Multifamily Housing,4,244.9,3028670001
"3390250 , 3338313",Multifamily Housing,1,838112.3,3028937502
3070234,Multifamily Housing,6,197.1,3029077501
3070266,Distribution Center,35,97.7,3029090106
3070328,Non-Refrigerated Warehouse,,61.7,3029140001
3070329; 3394552; 3394551; 3832295; 3834584,Manufacturing/Industrial Plant,,46.7,3029140016
3327846,Multifamily Housing,36,131.9,3029220003
3338342,Manufacturing/Industrial Plant,39,100.7,3029250001
3070489,Refrigerated Warehouse,35,264.5,3029270001
3070497,Non-Refrigerated Warehouse,36,33.7,3029270125
3338352,Distribution Center,21,154.6,3029270168
3070504,Non-Refrigerated Warehouse,98,18.6,3029290042
3070536,Refrigerated Warehouse,96,,3029530001
3070554,Non-Refrigerated Warehouse,30,127.2,3029660011
3070556,Non-Refrigerated Warehouse,91,41.1,3029670001
3070568; 3822077; 3070605; 3819725,Distribution Center,4,202.7,3029740170
3070575,Non-Refrigerated Warehouse,75,51.1,3029770046
3346084:3846399,Distribution Center,99,16.4,3029790107
3070583,Non-Refrigerated Warehouse,,21,3029870006
3070613,Manufacturing/Industrial Plant,,,3029920025
3070614,Office,100,63.9,3029920033
3070615,Office,100,,3029920043
3070619,Residence Hall/Dormitory,14,288.1,3029930001
3070622,Manufacturing/Industrial Plant,,186.2,3029940011
3070625,Non-Refrigerated Warehouse,57,43.7,3029940090
3070626; 3070621,Refrigerated Warehouse,85,30,3029940105
3070655,Multifamily Housing,16,85.4,3029990024
3325682,Other,,16.7,3030010001
3325700;3325701;3325699  ,Office,100,38.3,3030050001
3325713,Refrigerated Warehouse,67,148.6,3030070003
3070691,Distribution Center,78,,3030080022
3070752,Multifamily Housing,80,96.7,3030140014
3396889,Self-Storage Facility,,29.4,3030190008
3070826;3327878;3327879;3327881;3327882;3327883;3327884;3327887;3327888;3327889;3338398;3338402;3344259;3344926;3344948;3344971;3344974;3344982;3344992;3344998;3345008,Multifamily Housing,2,205.3,3030240001
See Primary BBL,See Primary BBL,,,3030250046
See Primary BBL,See Primary BBL,,,3030250070
See Primary BBL,See Primary BBL,,,3030260001
See Primary BBL,See Primary BBL,,,3030270001
3070837,Office,90,,3030290065
3070857,Multifamily Housing,29,134,3030310018
3396894,Multifamily Housing,61,86.8,3030440016
3398164,Multifamily Housing,10,122.3,3030500018
3071118,Multifamily Housing,2,207.8,3030520022
3338415;3416023;3338413;3338414,Multifamily Housing,35,139.1,3030580001
3071200,Multifamily Housing,30,149.6,3030600075
3327971;3327972;3347345,Multifamily Housing,13,177.4,3030770001
3338422,Multifamily Housing,20,161,3030780001
3071353;3071354;3071355;3071356;3071440;3071441;3071447;3071508;3327973;3327986;3394278,Multifamily Housing,9,209.1,3030800010
See Primary BBL,See Primary BBL,,,3030800020
See Primary BBL,See Primary BBL,,,3030800040
See Primary BBL,See Primary BBL,,,3030800050
See Primary BBL,See Primary BBL,,,3030800070
See Primary BBL,See Primary BBL,,,3030890134
See Primary BBL,See Primary BBL,,,3030960001
See Primary BBL,See Primary BBL,,,3030960030
See Primary BBL,See Primary BBL,,,3031050001
See Primary BBL,See Primary BBL,,,3031050109
See Primary BBL,See Primary BBL,,,3030960014
3071357;3071358;3071359;3071360;3071361;3071362;3071363,Multifamily Housing,25,191.9,3030810001
See Primary BBL,See Primary BBL,,,3030810040
See Primary BBL,See Primary BBL,,,3030810050
See Primary BBL,See Primary BBL,,,3030810060
See Primary BBL,See Primary BBL,,,3030810070
See Primary BBL,See Primary BBL,,,3030810075
See Primary BBL,See Primary BBL,,,3030810080
3071385,Multifamily Housing,1,616.3,3030820065
3071392,Non-Refrigerated Warehouse,83,42.2,3030840001
3071420,Multifamily Housing,36,102.3,3030910027
3071424,Other,,93.8,3030930001
3851441,Supermarket/Grocery Store,84,532.4,3031040001
3071551,Refrigerated Warehouse,14,410.6,3031110028
3071562,Multifamily Housing,97,90.4,3031130032
3394953,Multifamily Housing,100,58.8,3031137501
3326062,Retail Store,,98.1,3031270001
3338432;3338433;3338434;3338435;3338436;3338437;3338438;3338439;3071469,Multifamily Housing,20,,3031290001
See Primary BBL,See Primary BBL,,,3030980001
3347566,Multifamily Housing,30,137,3031320027
3393923,Multifamily Housing,96,85,3031377501
3827632;3814525;3838754;3838711;3823030;3071838,Distribution Center,81,46.6,3031400001
3387594,Multifamily Housing,43,143.2,3031450100
3071908,Multifamily Housing,,121.4,3031510012
3400523,Multifamily Housing,,94.9,3031517502
3396904,Multifamily Housing,,130.4,3031517503
3387566,Multifamily Housing,40,149.5,3031540001
3389471,Multifamily Housing,58,131.2,3031570101
3072045,Non-Refrigerated Warehouse,31,58.2,3031630001
3072069,Multifamily Housing,42,124.5,3031640026
3072427;3819572,Other,,142.2,3031780020
3072428,Multifamily Housing,83,70.9,3031780023
3072429,Multifamily Housing,,,3031780030
3328092,Multifamily Housing,65,125.3,3031830037
3073257,Other,,81.2,3032210031
3073471,Multifamily Housing,6,210.6,3032310001
3073482,Multifamily Housing,36,131.5,3032310033
3387647,Senior Care Community,22,234.6,3032320001
3074262,Hospital (General Medical & Surgical),78,461.6,3032600001
3393892,Multifamily Housing,100,58.3,3032660045
"3,251,905,333,912,430,000,000,000,000",Multifamily Housing,100,19.8,3032740001
3400821,Multifamily Housing,100,51.9,3032807501
3319576,Multifamily Housing,96,93.2,3032940042
3325698,Multifamily Housing,82,115,3033030001
3346536,Multifamily Housing,94,88.2,3033070004
3075906;3076116;3342263;3394310,Multifamily Housing,34,,3033150001
See Primary BBL,See Primary BBL,,,3033240019
3075907;3338491;3338492;3338493;3342119;3396593,Multifamily Housing,12,,3033160001
See Primary BBL,See Primary BBL,,,3033250001
See Primary BBL,See Primary BBL,,,3033340001
3392234,Multifamily Housing,34,122.3,3033287501
3076224,Multifamily Housing,70,129.3,3033300025
3076225,Multifamily Housing,18,166.8,3033300032
3076258,Multifamily Housing,51,112.4,3033310036
3076595;3076768;3325725;3325726;3326137;3326138;3326139;3326140;3326141;3326142;3326143;3326144;3326145;3326146;3326147;3326148;3326149;3326150;3326165;3326169;3326170;3326171;3326172;3326173;3326174;3326175,Multifamily Housing,47,,3033320001
See Primary BBL,See Primary BBL,,,3033410001
See Primary BBL,See Primary BBL,,,3033420001
See Primary BBL,See Primary BBL,,,3033500028
See Primary BBL,See Primary BBL,,,3033510001
See Primary BBL,See Primary BBL,,,3033590029
3393762,Multifamily Housing,67,124.8,3033320047
3251923;3391218,Multifamily Housing,71,115.3,3033330033
3346901,Multifamily Housing,71,120.2,3033350001
3076429,Multifamily Housing,13,177.2,3033400020
3076701;3831683,Office,,,3033540013
3078929,Multifamily Housing,13,120.2,3034130041
3078942,Non-Refrigerated Warehouse,,99.9,3034130071
3392663;3814050;3814051;3814046;3814049;3808438,Multifamily Housing,55,127,3034170001
3398928,Multifamily Housing,1,228.8,3034190029
3398683,Multifamily Housing,76,104.9,3034440016
3080124,Multifamily Housing,59,141.5,3034460001
3080412,Multifamily Housing,39,135.9,3034660020
3339433;3339434;3339435;3339436;3339437;3339438;3339439;3339441;3339442;3348343,Multifamily Housing,10,208,3034890001
3394021,Multifamily Housing,92,101.6,3034970051
3394022,Multifamily Housing,80,114.4,3034970065
3080887;3080888;3080889,Multifamily Housing,2,231.7,3035120001
3333397;3333398;3348344;3388153,Multifamily Housing,22,188.9,3035260021
3325326;3326508;3326509;3326510;3326511;3326512;3326513;3326514;3326515;3326516;3326517;3326518;3326519;3326520;3326521;3326522;3326523;3326524;3326525;3326526;3326527;3326528;3326529;3326530;3326531;3334334;3344722;3000000;3328024;3328025;3328026;3328027,Multifamily Housing,15,193.1,3035440001
See Primary BBL,See Primary BBL,,,3035610001
See Primary BBL,See Primary BBL,,,3037600001
See Primary BBL,See Primary BBL,,,3037770001
See Primary BBL,See Primary BBL,,,3037940001
See Primary BBL,See Primary BBL,,,3037800001
See Primary BBL,See Primary BBL,,,3037970001
3326497;3345302;3345303;3345305;3345307;3345309;3326499;3326495;3326496;3345306;3326498;3345310;3345308;3345304,Multifamily Housing,37,188.4,3035730001
3326533;3326534;3326535;3326536;3326537;3326538;3326539;3326540;3345311;3345312;3345313;3345314,Multifamily Housing,7,188.4,3035740001
3808681;3808654;3326506;3326507;3326505,Multifamily Housing,3,188.4,3035750011
3326542;3326543;3326544;3326545;3326546;3326547;3326548;3326549;3388152,Multifamily Housing,11,207.6,3035760001
3338525;3338526;3338527;3338528;3342590;3342591;3342592;3342593;3342594;3342595;3342596;3342597;3342598,Multifamily Housing,15,188.4,3035870001
3326551;3326556;3326557;3326558;3326559;3326560;3326561;3345357;3345358;3345359;3345360;3345361,Multifamily Housing,10,188.4,3035880001
3398176,Multifamily Housing,94,,3035890001
3397844,Multifamily Housing,87,106.5,3035890038
3326589;3326592;3807309,Multifamily Housing,7,188.4,3036010026
3393959,Multifamily Housing,93,72.3,3036027501
3082392,Multifamily Housing,17,178.5,3036060010
