BINs,Type,Score,S_EUI,BBL
1002735,Mixed Use Property,,55.8,1002120018
Not Available,Hotel,59,210.9,1002120045
1002740,Multifamily Housing,79,83,1002127501
1002736;1812036;1808821,Multifamily Housing,35,118.3,1002127503
1002734,Office,,454.3,1002127504
1002803,Office,,,1002147502
1086551,Multifamily Housing,2,209.4,1002147503
1086556,Multifamily Housing,39,149,1002157502
1002807,Multifamily Housing,1,172.1,1002157504
1088445,Multifamily Housing,,153.5,1002157505
1002813,Office,,1025.1,1002160001
1002815,Multifamily Housing,64,120.1,1002177501
1002814,Multifamily Housing,66,112.8,1002177503
1002819; 1002818,Multifamily Housing,,,1002177504
1002831,Multifamily Housing,,104.9,1002180024
1002832,Multifamily Housing,,171.6,1002187501
1088611,Multifamily Housing,2,179.9,1002187504
1002836,Multifamily Housing,95,,1002197501
Not Available,Office,92,116.5,1002200031
1066500,Multifamily Housing,61,131.7,1002207502
1086557,Multifamily Housing,,162.1,1002207503
1002856,Office,100,14.8,1002220001
1002859,Multifamily Housing,27,116.6,1002227501
1002857,Multifamily Housing,4,170.7,1002227502
1087707,Multifamily Housing,48,125.1,1002240001
1002929,Multifamily Housing,3,119.8,1002257501
1087764,Hotel,28,270.2,1002270028
1-00227-0052,Hotel,5,321.7,1002270052
1087488; 1002961,Multifamily Housing,,,1002287502
1003017,Office,77,128.7,1002310026
1003020,Office,16,407.6,1002310035
1003023,Multifamily Housing,,169.6,1002317501
1003025,Office,59,197.6,1002320001
1003051,Office,79,179.1,1002330026
1066508,Multifamily Housing,,264.8,1002377501
1087662;1079592,Office,23,221.4,1002387501
1003115,Multifamily Housing,1,194.6,1002397501
1077586;1077587,Multifamily Housing,32,147.6,1002430056
1003141;1805579,Multifamily Housing,32,147.6,1002440019
1078940,Multifamily Housing,63,165.3,1002440040
1003142,Multifamily Housing,11,,1002450001
1077589;1077590,Multifamily Housing,49,123.2,1002470001
1085945,Multifamily Housing,52,144.4,1002480015
1084418,Multifamily Housing,22,171,1002480070
1003205,Self-Storage Facility,,143.6,1002500001
1077585;1077591,Multifamily Housing,1,340.8,1002530001
1077508;1077509;1077510;1077511;1077512,Multifamily Housing,24,183.7,1002550001
1077514;1077515;1077516;1077517;1077518;1083384;1083385;1083386;1083387;1003211,Multifamily Housing,19,,1002560001
See Primary BBL,See Primary BBL,,,1002580001
See Primary BBL,See Primary BBL,,,1002560014
1003212,Multifamily Housing,32,147.6,1002590001
1003215,Multifamily Housing,52,147.6,1002590071
1077520;1077521;1077522;1077523;1077524;1077525;1077526;1077527;1077528;1077529;1083388;1083389;1083390;1083391;1083392;1083393;1083394;1083395;1083404;1083405;1083396;1083397;1083398;1083399,Multifamily Housing,10,,1002600001
See Primary BBL,See Primary BBL,,,1002600075
See Primary BBL,See Primary BBL,,,1002670024
See Primary BBL,See Primary BBL,,,1002630001
1-00263-0008,Multifamily Housing,,215.4,1002630008
1083402;1083403,Multifamily Housing,44,142,1002670001
1003221,Multifamily Housing,89,59.6,1002670037
1084603,Multifamily Housing,15,195.7,1002747502
1077812,Multifamily Housing,15,158.2,1002777501
1003379,Office,52,227.7,1002797502
1086071,Multifamily Housing,51,148,1002830024
1003623,Multifamily Housing,9,142.8,1002847503
1003686,Multifamily Housing,,156.2,1002857501
1003795,Hotel,,40.4,1002940008
1075792;1084872,Multifamily Housing,45,,1003070001
1082491,Parking,,42,1003070024
1077604;1077605;1077606;1077607;1801610,Multifamily Housing,79,162,1003110013
1082653;1082654,Multifamily Housing,69,171.4,1003150001
1-00321-0001,Multifamily Housing,,139.2,1003210001
1004064,Multifamily Housing,13,,1003310001
1-00331-0065,Multifamily Housing,41,151.2,1003310065
1-00331-0120,Multifamily Housing,83,133.6,1003310120
1-00331-0200,Other,,13.7,1003310200
1086089;1082664;1082665;1082667;1082666;1811540;1811543;1811544;1811545;1811546;1811547;1811548;1811549;1811550;1811551;1811552;1811553,Multifamily Housing,32,147.6,1003330001
1082686;1082687;1084357,Multifamily Housing,25,175.2,1003380001
1004075,Multifamily Housing,1,212.1,1003410001
1083423;1088777,Multifamily Housing,20,148.1,1003410058
1077598;1077609;1088330;1088770,Multifamily Housing,22,144.3,1003410070
1086094,Multifamily Housing,83,108,1003430043
1004081,Multifamily Housing,46,100,1003430050
1075794,Multifamily Housing,52,111.1,1003437501
1004139,Multifamily Housing,100,21.7,1003450017
1004151,Multifamily Housing,86,98.9,1003450048
1088482,Multifamily Housing,59,182.7,1003450058
1088333,Multifamily Housing,92,98.1,1003457502
1004158;1083428;1083429;1087106,Multifamily Housing,10,195.6,1003470080
See Primary BBL,See Primary BBL,,,1003510001
